UserID,Name,DOB,Address,Phone,Email
1001,Daniel Shrestha,02/07/2002,Pulchowk,9841400050,d.shrestha@gmail.com
1002,Sradda Shahi,05/05/1997,Koteshwor,9803399781,s.shahi@gmail.com
1003,Anuja Pandey,14/11/1999,New Road,9802122221,a.pandey@gmail.com
1004,Jenny Wallace,03/09/2003,Baneshwor-KTM,9851011121,j.wallace@gmail.com
1005,Lara Smith,02/02/1997,Hannover,9869127543,l.nelde@gmail.com
1006,Sami Hasan,07/09/1994,Karachi,9847443351,s.seth@gmail.com
1007,Jenny Wallace,03/09/2003,Baneshwor-KTM,9851011121,j.wallace@gmail.com
1008,Lara Smith,02/02/1997,Hannover,9869127543,l.nelde@gmail.com
1009,Sami Hasan,07/09/1994,Karachi,9847443351,s.seth@gmail.com
1010,Jenny Wallace,03/09/2003,Baneshwor-KTM,9851011121,j.wallace@gmail.com
1011,Lara Smith,02/02/1997,Hannover,9869127543,l.nelde@gmail.com
1012,Sami Hasan,07/09/1994,Karachi,9847443351,s.seth@gmail.com
1013,Daniel Shrestha,02/07/2002,Pulchowk,9841400050,d.shrestha@gmail.com
1014,Sradda Shahi,05/05/1997,Koteshwor,9803399781,s.shahi@gmail.com
1015,Anuja Pandey,14/11/1999,New Road,9802122221,a.pandey@gmail.com
1016,Daniel Shrestha,02/07/2002,Pulchowk,9841400050,d.shrestha@gmail.com
1017,Sradda Shahi,05/05/1997,Koteshwor,9803399781,s.shahi@gmail.com
1018,Anuja Pandey,14/11/1999,New Road,9802122221,a.pandey@gmail.com
